,path,source,actor,gender,emotion,emotion_lb,split
265,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_05/03-01-08-02-02-01-05.wav,Ravdess,5,male,8,male_surprised,Train
268,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_05/03-01-08-01-02-01-05.wav,Ravdess,5,male,8,male_surprised,Train
269,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_05/03-01-05-01-01-02-05.wav,Ravdess,5,male,5,male_angry,Train
272,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_05/03-01-06-01-02-01-05.wav,Ravdess,5,male,6,male_fearful,Train
273,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_05/03-01-05-02-01-01-05.wav,Ravdess,5,male,5,male_angry,Train
274,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_05/03-01-08-02-01-01-05.wav,Ravdess,5,male,8,male_surprised,Train
275,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_05/03-01-05-01-02-02-05.wav,Ravdess,5,male,5,male_angry,Train
277,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_05/03-01-08-01-02-02-05.wav,Ravdess,5,male,8,male_surprised,Train
278,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_05/03-01-08-01-01-01-05.wav,Ravdess,5,male,8,male_surprised,Train
279,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_05/03-01-07-01-01-01-05.wav,Ravdess,5,male,7,male_disgust,Train
280,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_05/03-01-05-02-02-01-05.wav,Ravdess,5,male,5,male_angry,Train
282,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_05/03-01-08-02-02-02-05.wav,Ravdess,5,male,8,male_surprised,Train
283,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_05/03-01-06-02-01-01-05.wav,Ravdess,5,male,6,male_fearful,Train
284,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_05/03-01-08-01-01-02-05.wav,Ravdess,5,male,8,male_surprised,Train
288,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_05/03-01-06-01-01-02-05.wav,Ravdess,5,male,6,male_fearful,Train
291,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_05/03-01-06-01-02-02-05.wav,Ravdess,5,male,6,male_fearful,Train
294,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_05/03-01-05-01-02-01-05.wav,Ravdess,5,male,5,male_angry,Train
295,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_05/03-01-08-02-01-02-05.wav,Ravdess,5,male,8,male_surprised,Train
296,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_05/03-01-07-02-02-02-05.wav,Ravdess,5,male,7,male_disgust,Train
297,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_05/03-01-05-02-01-02-05.wav,Ravdess,5,male,5,male_angry,Train
299,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_05/03-01-04-02-01-02-05.wav,Ravdess,5,male,4,male_sad,Train
300,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_06/03-01-03-01-02-02-06.wav,Ravdess,6,female,3,female_happy,Train
301,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_06/03-01-02-02-01-01-06.wav,Ravdess,6,female,2,female_calm,Train
302,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_06/03-01-01-01-01-01-06.wav,Ravdess,6,female,1,female_neutral,Train
303,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_06/03-01-01-01-01-02-06.wav,Ravdess,6,female,1,female_neutral,Train
304,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_06/03-01-02-02-02-02-06.wav,Ravdess,6,female,2,female_calm,Train
305,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_06/03-01-03-01-01-01-06.wav,Ravdess,6,female,3,female_happy,Train
306,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_06/03-01-02-02-02-01-06.wav,Ravdess,6,female,2,female_calm,Train
307,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_06/03-01-01-01-02-02-06.wav,Ravdess,6,female,1,female_neutral,Train
308,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_06/03-01-03-01-01-02-06.wav,Ravdess,6,female,3,female_happy,Train
309,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_06/03-01-01-01-02-01-06.wav,Ravdess,6,female,1,female_neutral,Train
310,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_06/03-01-03-01-02-01-06.wav,Ravdess,6,female,3,female_happy,Train
311,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_06/03-01-02-01-01-02-06.wav,Ravdess,6,female,2,female_calm,Train
312,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_06/03-01-02-01-01-01-06.wav,Ravdess,6,female,2,female_calm,Train
313,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_06/03-01-03-02-01-01-06.wav,Ravdess,6,female,3,female_happy,Train
314,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_06/03-01-02-01-02-01-06.wav,Ravdess,6,female,2,female_calm,Train
315,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_06/03-01-02-02-01-02-06.wav,Ravdess,6,female,2,female_calm,Train
316,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_06/03-01-02-01-02-02-06.wav,Ravdess,6,female,2,female_calm,Train
317,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_06/03-01-08-01-02-02-06.wav,Ravdess,6,female,8,female_surprised,Train
318,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_06/03-01-07-01-01-01-06.wav,Ravdess,6,female,7,female_disgust,Train
319,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_06/03-01-08-02-01-02-06.wav,Ravdess,6,female,8,female_surprised,Train
321,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_06/03-01-06-02-01-02-06.wav,Ravdess,6,female,6,female_fearful,Train
322,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_06/03-01-05-01-02-01-06.wav,Ravdess,6,female,5,female_angry,Train
325,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_06/03-01-08-02-02-01-06.wav,Ravdess,6,female,8,female_surprised,Train
326,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_06/03-01-05-01-01-01-06.wav,Ravdess,6,female,5,female_angry,Train
327,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_06/03-01-07-02-02-01-06.wav,Ravdess,6,female,7,female_disgust,Train
329,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_06/03-01-04-02-01-02-06.wav,Ravdess,6,female,4,female_sad,Train
330,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_06/03-01-06-01-01-01-06.wav,Ravdess,6,female,6,female_fearful,Train
332,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_06/03-01-07-01-01-02-06.wav,Ravdess,6,female,7,female_disgust,Train
334,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_06/03-01-08-01-01-01-06.wav,Ravdess,6,female,8,female_surprised,Train
338,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_06/03-01-03-02-02-01-06.wav,Ravdess,6,female,3,female_happy,Train
340,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_06/03-01-08-01-02-01-06.wav,Ravdess,6,female,8,female_surprised,Train
341,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_06/03-01-08-02-01-01-06.wav,Ravdess,6,female,8,female_surprised,Train
343,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_06/03-01-03-02-02-02-06.wav,Ravdess,6,female,3,female_happy,Train
344,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_06/03-01-08-02-02-02-06.wav,Ravdess,6,female,8,female_surprised,Train
347,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_06/03-01-08-01-01-02-06.wav,Ravdess,6,female,8,female_surprised,Train
348,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_06/03-01-04-02-02-01-06.wav,Ravdess,6,female,4,female_sad,Train
352,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_06/03-01-04-01-01-01-06.wav,Ravdess,6,female,4,female_sad,Train
355,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_06/03-01-03-02-01-02-06.wav,Ravdess,6,female,3,female_happy,Train
356,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_06/03-01-04-01-01-02-06.wav,Ravdess,6,female,4,female_sad,Train
358,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_06/03-01-05-02-01-01-06.wav,Ravdess,6,female,5,female_angry,Train
359,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_06/03-01-04-02-01-01-06.wav,Ravdess,6,female,4,female_sad,Train
360,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_07/03-01-01-01-01-01-07.wav,Ravdess,7,male,1,male_neutral,Train
361,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_07/03-01-02-01-02-01-07.wav,Ravdess,7,male,2,male_calm,Train
362,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_07/03-01-01-01-02-01-07.wav,Ravdess,7,male,1,male_neutral,Train
363,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_07/03-01-02-01-02-02-07.wav,Ravdess,7,male,2,male_calm,Train
364,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_07/03-01-01-01-01-02-07.wav,Ravdess,7,male,1,male_neutral,Train
365,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_07/03-01-02-01-01-02-07.wav,Ravdess,7,male,2,male_calm,Train
366,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_07/03-01-02-01-01-01-07.wav,Ravdess,7,male,2,male_calm,Train
367,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_07/03-01-01-01-02-02-07.wav,Ravdess,7,male,1,male_neutral,Train
370,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_07/03-01-02-02-01-02-07.wav,Ravdess,7,male,2,male_calm,Train
372,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_07/03-01-08-02-01-01-07.wav,Ravdess,7,male,8,male_surprised,Train
373,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_07/03-01-03-01-01-02-07.wav,Ravdess,7,male,3,male_happy,Train
376,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_07/03-01-07-02-01-02-07.wav,Ravdess,7,male,7,male_disgust,Train
378,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_07/03-01-03-02-02-02-07.wav,Ravdess,7,male,3,male_happy,Train
379,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_07/03-01-03-01-01-01-07.wav,Ravdess,7,male,3,male_happy,Train
380,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_07/03-01-06-01-02-01-07.wav,Ravdess,7,male,6,male_fearful,Train
381,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_07/03-01-07-02-02-02-07.wav,Ravdess,7,male,7,male_disgust,Train
382,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_07/03-01-06-01-02-02-07.wav,Ravdess,7,male,6,male_fearful,Train
384,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_07/03-01-03-02-02-01-07.wav,Ravdess,7,male,3,male_happy,Train
385,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_07/03-01-05-01-02-02-07.wav,Ravdess,7,male,5,male_angry,Train
386,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_07/03-01-02-02-02-01-07.wav,Ravdess,7,male,2,male_calm,Train
388,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_07/03-01-03-02-01-02-07.wav,Ravdess,7,male,3,male_happy,Train
389,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_07/03-01-04-02-01-01-07.wav,Ravdess,7,male,4,male_sad,Train
390,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_07/03-01-08-01-02-01-07.wav,Ravdess,7,male,8,male_surprised,Train
393,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_07/03-01-07-01-01-01-07.wav,Ravdess,7,male,7,male_disgust,Train
394,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_07/03-01-02-02-02-02-07.wav,Ravdess,7,male,2,male_calm,Train
395,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_07/03-01-08-01-01-02-07.wav,Ravdess,7,male,8,male_surprised,Train
396,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_07/03-01-02-02-01-01-07.wav,Ravdess,7,male,2,male_calm,Train
397,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_07/03-01-08-01-01-01-07.wav,Ravdess,7,male,8,male_surprised,Train
398,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_07/03-01-06-02-01-01-07.wav,Ravdess,7,male,6,male_fearful,Train
399,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_07/03-01-04-01-01-02-07.wav,Ravdess,7,male,4,male_sad,Train
400,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_07/03-01-06-02-01-02-07.wav,Ravdess,7,male,6,male_fearful,Train
401,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_07/03-01-08-02-01-02-07.wav,Ravdess,7,male,8,male_surprised,Train
402,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_07/03-01-03-02-01-01-07.wav,Ravdess,7,male,3,male_happy,Train
403,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_07/03-01-03-01-02-02-07.wav,Ravdess,7,male,3,male_happy,Train
404,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_07/03-01-08-01-02-02-07.wav,Ravdess,7,male,8,male_surprised,Train
410,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_07/03-01-07-02-01-01-07.wav,Ravdess,7,male,7,male_disgust,Train
413,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_07/03-01-04-01-02-01-07.wav,Ravdess,7,male,4,male_sad,Train
417,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_07/03-01-03-01-02-01-07.wav,Ravdess,7,male,3,male_happy,Train
418,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_07/03-01-08-02-02-02-07.wav,Ravdess,7,male,8,male_surprised,Train
419,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_07/03-01-08-02-02-01-07.wav,Ravdess,7,male,8,male_surprised,Train
420,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_08/03-01-04-02-02-01-08.wav,Ravdess,8,female,4,female_sad,Train
421,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_08/03-01-02-02-01-02-08.wav,Ravdess,8,female,2,female_calm,Train
422,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_08/03-01-01-01-02-02-08.wav,Ravdess,8,female,1,female_neutral,Train
424,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_08/03-01-02-01-01-01-08.wav,Ravdess,8,female,2,female_calm,Train
426,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_08/03-01-01-01-01-01-08.wav,Ravdess,8,female,1,female_neutral,Train
427,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_08/03-01-04-02-01-02-08.wav,Ravdess,8,female,4,female_sad,Train
430,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_08/03-01-01-01-01-02-08.wav,Ravdess,8,female,1,female_neutral,Train
431,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_08/03-01-06-01-02-01-08.wav,Ravdess,8,female,6,female_fearful,Train
434,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_08/03-01-03-01-01-01-08.wav,Ravdess,8,female,3,female_happy,Train
437,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_08/03-01-07-01-01-01-08.wav,Ravdess,8,female,7,female_disgust,Train
438,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_08/03-01-02-01-01-02-08.wav,Ravdess,8,female,2,female_calm,Train
439,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_08/03-01-03-02-02-01-08.wav,Ravdess,8,female,3,female_happy,Train
440,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_08/03-01-05-02-01-02-08.wav,Ravdess,8,female,5,female_angry,Train
441,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_08/03-01-06-01-01-01-08.wav,Ravdess,8,female,6,female_fearful,Train
443,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_08/03-01-02-01-02-01-08.wav,Ravdess,8,female,2,female_calm,Train
444,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_08/03-01-02-01-02-02-08.wav,Ravdess,8,female,2,female_calm,Train
445,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_08/03-01-03-02-01-01-08.wav,Ravdess,8,female,3,female_happy,Train
446,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_08/03-01-01-01-02-01-08.wav,Ravdess,8,female,1,female_neutral,Train
448,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_08/03-01-03-02-01-02-08.wav,Ravdess,8,female,3,female_happy,Train
450,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_08/03-01-03-01-01-02-08.wav,Ravdess,8,female,3,female_happy,Train
453,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_08/03-01-02-02-02-01-08.wav,Ravdess,8,female,2,female_calm,Train
454,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_08/03-01-03-01-02-01-08.wav,Ravdess,8,female,3,female_happy,Train
458,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_08/03-01-06-02-01-01-08.wav,Ravdess,8,female,6,female_fearful,Train
463,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_08/03-01-03-02-02-02-08.wav,Ravdess,8,female,3,female_happy,Train
464,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_08/03-01-05-02-02-01-08.wav,Ravdess,8,female,5,female_angry,Train
465,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_08/03-01-02-02-02-02-08.wav,Ravdess,8,female,2,female_calm,Train
466,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_08/03-01-03-01-02-02-08.wav,Ravdess,8,female,3,female_happy,Train
467,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_08/03-01-02-02-01-01-08.wav,Ravdess,8,female,2,female_calm,Train
468,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_08/03-01-08-02-02-01-08.wav,Ravdess,8,female,8,female_surprised,Train
469,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_08/03-01-07-02-01-02-08.wav,Ravdess,8,female,7,female_disgust,Train
470,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_08/03-01-08-02-02-02-08.wav,Ravdess,8,female,8,female_surprised,Train
471,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_08/03-01-08-01-02-02-08.wav,Ravdess,8,female,8,female_surprised,Train
472,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_08/03-01-08-01-01-01-08.wav,Ravdess,8,female,8,female_surprised,Train
473,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_08/03-01-08-02-01-02-08.wav,Ravdess,8,female,8,female_surprised,Train
474,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_08/03-01-08-01-02-01-08.wav,Ravdess,8,female,8,female_surprised,Train
476,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_08/03-01-08-02-01-01-08.wav,Ravdess,8,female,8,female_surprised,Train
477,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_08/03-01-07-02-02-01-08.wav,Ravdess,8,female,7,female_disgust,Train
478,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_08/03-01-07-02-01-01-08.wav,Ravdess,8,female,7,female_disgust,Train
479,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_08/03-01-08-01-01-02-08.wav,Ravdess,8,female,8,female_surprised,Train
480,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_09/03-01-06-02-01-02-09.wav,Ravdess,9,male,6,male_fearful,Train
481,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_09/03-01-02-01-02-01-09.wav,Ravdess,9,male,2,male_calm,Train
483,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_09/03-01-05-01-02-01-09.wav,Ravdess,9,male,5,male_angry,Train
485,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_09/03-01-06-02-02-01-09.wav,Ravdess,9,male,6,male_fearful,Train
486,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_09/03-01-06-02-01-01-09.wav,Ravdess,9,male,6,male_fearful,Train
487,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_09/03-01-03-02-01-01-09.wav,Ravdess,9,male,3,male_happy,Train
488,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_09/03-01-02-01-01-02-09.wav,Ravdess,9,male,2,male_calm,Train
489,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_09/03-01-05-02-01-02-09.wav,Ravdess,9,male,5,male_angry,Train
490,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_09/03-01-02-02-02-01-09.wav,Ravdess,9,male,2,male_calm,Train
491,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_09/03-01-04-02-02-01-09.wav,Ravdess,9,male,4,male_sad,Train
495,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_09/03-01-03-02-02-02-09.wav,Ravdess,9,male,3,male_happy,Train
496,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_09/03-01-03-01-01-02-09.wav,Ravdess,9,male,3,male_happy,Train
498,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_09/03-01-01-01-01-02-09.wav,Ravdess,9,male,1,male_neutral,Train
500,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_09/03-01-01-01-01-01-09.wav,Ravdess,9,male,1,male_neutral,Train
501,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_09/03-01-04-01-02-01-09.wav,Ravdess,9,male,4,male_sad,Train
502,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_09/03-01-04-02-01-02-09.wav,Ravdess,9,male,4,male_sad,Train
503,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_09/03-01-05-01-02-02-09.wav,Ravdess,9,male,5,male_angry,Train
504,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_09/03-01-02-02-01-02-09.wav,Ravdess,9,male,2,male_calm,Train
505,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_09/03-01-04-01-01-01-09.wav,Ravdess,9,male,4,male_sad,Train
506,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_09/03-01-02-01-02-02-09.wav,Ravdess,9,male,2,male_calm,Train
507,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_09/03-01-06-01-01-01-09.wav,Ravdess,9,male,6,male_fearful,Train
508,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_09/03-01-02-02-02-02-09.wav,Ravdess,9,male,2,male_calm,Train
509,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_09/03-01-02-01-01-01-09.wav,Ravdess,9,male,2,male_calm,Train
510,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_09/03-01-01-01-02-01-09.wav,Ravdess,9,male,1,male_neutral,Train
512,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_09/03-01-02-02-01-01-09.wav,Ravdess,9,male,2,male_calm,Train
513,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_09/03-01-03-02-02-01-09.wav,Ravdess,9,male,3,male_happy,Train
515,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_09/03-01-03-02-01-02-09.wav,Ravdess,9,male,3,male_happy,Train
517,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_09/03-01-03-01-02-01-09.wav,Ravdess,9,male,3,male_happy,Train
519,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_09/03-01-03-01-02-02-09.wav,Ravdess,9,male,3,male_happy,Train
520,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_09/03-01-01-01-02-02-09.wav,Ravdess,9,male,1,male_neutral,Train
522,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_09/03-01-03-01-01-01-09.wav,Ravdess,9,male,3,male_happy,Train
523,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_09/03-01-08-01-01-01-09.wav,Ravdess,9,male,8,male_surprised,Train
524,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_09/03-01-08-02-02-01-09.wav,Ravdess,9,male,8,male_surprised,Train
525,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_09/03-01-07-01-01-01-09.wav,Ravdess,9,male,7,male_disgust,Train
526,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_09/03-01-07-01-02-01-09.wav,Ravdess,9,male,7,male_disgust,Train
527,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_09/03-01-08-01-01-02-09.wav,Ravdess,9,male,8,male_surprised,Train
528,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_09/03-01-08-01-02-02-09.wav,Ravdess,9,male,8,male_surprised,Train
529,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_09/03-01-06-02-02-02-09.wav,Ravdess,9,male,6,male_fearful,Train
530,/content/gdrive/MyDrive/SYDE 522 - Team Project/Code/data/Actor_09/03-01-08-01-02-01-09.wav,Ravdess,9,male,8,male_surprised,Train
